temperature_2m,dewpoint_2m,windspeed_10m,winddirection_10m,cloudcover_low,cloudcover_mid,cloudcover_high,shortwave_radiation,boundary_layer_height
-2.647854111606301,-2.58785136495264,-0.8807545139762214,1.4207582197918736,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.2946562328567361,-1.5954905936643307
-2.8063472373607756,-2.750124000923631,-0.8807545139762214,1.4207582197918736,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.2946562328567361,-1.5954905936643307
-2.6126334169941954,-2.5517907791813084,-0.8807545139762214,1.4207582197918736,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.2946562328567361,-1.7453459165355558
-2.5069713331578787,-2.930426929780288,-1.0469481355978163,-1.4522040174287207,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.469800183679299,-1.7528386826791171
-2.5069713331578787,-2.930426929780288,-1.0469481355978163,-1.4522040174287207,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.469800183679299,-1.7528386826791171
-2.45414029123972,-2.894366344008957,-1.0469481355978163,-1.4522040174287207,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.469800183679299,-1.7528386826791171
-2.542192027769984,-2.9664875155516195,-1.0469481355978163,-1.4522040174287207,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.469800183679299,-1.7528386826791171
-2.4365299439336674,-2.8763360511232907,-1.0469481355978163,-1.4522040174287207,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.469800183679299,-1.7528386826791171
-3.334657656542359,-4.10239596734856,-1.0053997301924176,0.15598475675890064,-0.4757627333016597,-0.8765820625750025,-0.6317971749232909,-2.170375986969551,-1.5205629322287182
-3.334657656542359,-4.120426260234226,-1.0053997301924176,0.15598475675890064,-0.4757627333016597,-0.8765820625750025,-0.6317971749232909,-2.170375986969551,-1.5205629322287182
-3.4931507822968335,-3.5795174736642545,-0.5068188653276333,0.3821363031290349,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-3.213624737521339,-1.8577374086889746
-3.933409464948153,-3.868002159834906,-0.7561092977600253,-0.7905013447161057,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.6830189064198104,-0.4490973736994581
-3.6692542553573615,-3.59754776654992,-0.7561092977600253,-0.7905013447161057,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.6830189064198104,-0.4490973736994581
-4.039071548784469,-3.9761839171489006,-0.7561092977600253,-0.7905013447161057,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.6830189064198104,-0.4490973736994581
-4.021461201478417,-3.9761839171489006,-0.7561092977600253,-0.7905013447161057,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.6830189064198104,-0.4490973736994581
-4.10951293800868,-3.868002159834906,-0.29907683830063986,-0.7151174959260609,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-2.7567274745059573,-1.1833884557684615
-2.8063472373607756,-2.6960331222666336,-0.4652704599222344,-0.7486214287216363,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-2.8176471095746747,-1.573012295233647
-2.471750638545773,-2.4616393147529796,0.8642785130505239,1.1862306902228454,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.6093103383336637,-0.6514020595756121
-2.2075954289549813,-2.1911849214679937,0.8642785130505239,1.1862306902228454,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.6093103383336637,-0.9511127053180625
-2.2956471654852453,-2.2813363858963225,0.8642785130505239,1.1862306902228454,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.6093103383336637,-0.9511127053180625
-2.4189195966276147,-1.9387608210686733,-0.2575284328952409,1.2281106062173148,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.7616094260054576,-1.05601143132792
-2.4189195966276147,-1.9567911139543392,-0.2575284328952409,1.2281106062173148,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.7616094260054576,-1.05601143132792
-2.5950230696881427,-2.1190637499253304,-0.2575284328952409,1.2281106062173148,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.7616094260054576,-1.05601143132792
-2.542192027769984,-2.0830031641539994,-0.2575284328952409,1.2281106062173148,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.7616094260054576,-1.05601143132792
-2.154764387036823,-1.5601246704696932,-0.5899156761384304,1.219734623018421,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.8149141066905854,-1.1084607943328488
-2.3132575127912984,-1.7223973064406848,-0.5899156761384304,1.219734623018421,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.8149141066905854,-0.6963586564369797
-2.26042647087314,-1.6683064277836874,-0.5899156761384304,1.219734623018421,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.8149141066905854,-0.6963586564369797
-2.330867860097351,-1.7404275993263507,-0.5899156761384304,1.219734623018421,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.8149141066905854,-0.6963586564369797
-2.26042647087314,-1.974821406840005,-0.17443162208444346,1.2029826566206332,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-0.8072991523069957,-0.6963586564369797
-1.4503504947947126,-1.307700570070373,0.32414924278034063,1.404006253394086,-0.4757627333016597,-0.8765820625750025,-0.6610066966461444,-1.568794590665965,-0.8312284470210823
